Borehole ID,Document ID,Sub Borehole Layer,Latitude,Longitude,Top Depth,Bottom Depth,Description,USCS,Lithology,Distance_km,Color,Elevation,md
5,343,1,47.57493778,-122.4061195,0.0,1.5,"Topsoil, wet",Not applicable,Topsoil / vegetation,14.039201308675716,blue,39,0.0
5,343,2,47.57493778,-122.4061195,1.5,7.0,"Soft, wet, dark gray, blocky clayey silt, slide debris",GC,Clayey silt,14.039201308675716,blue,39,1.5
5,343,3,47.57493778,-122.4061195,7.0,13.0,"Medium dense, wet, dark gray, blocky clayey silt, slide debris",CH,Clayey silt,14.039201308675716,blue,39,7.0
6,343,1,47.57496301,-122.4059178,0.0,1.0,"Topsoil, wet",Not applicable,Topsoil / vegetation,14.023769680212183,blue,41,0.0
6,343,2,47.57496301,-122.4059178,1.0,5.0,"Soft, wet, dark gray, clayey slide debris",CL,Clay,14.023769680212183,blue,41,1.0
6,343,3,47.57496301,-122.4059178,5.0,8.0,"Medium dense, wet, dark gray, clayey, blocky slide debris",CL,Clay,14.023769680212183,blue,41,5.0
7,343,1,47.57500494,-122.4060368,0.0,2.5,"Very moist to wet, brown, clay, organic-rich",OH,Clay,14.031782693702588,blue,39,0.0
7,343,2,47.57500494,-122.4060368,2.5,3.0,"Wet, gray clayey sand",SC,Clayey sand,14.031782693702588,blue,39,2.5
7,343,3,47.57500494,-122.4060368,3.0,4.0,"Wet, tan clayey sand",SC,Clayey sand,14.031782693702588,blue,39,3.0
7,343,4,47.57500494,-122.4060368,4.0,6.5,"Wet, gray, silty clayey sand, organic-rich",SC,Sand,14.031782693702588,blue,39,4.0
7,343,5,47.57500494,-122.4060368,6.5,7.5,"Wet, gray, silty clay to clayey fine sand, organic-rich",CL-ML,Silty clay,14.031782693702588,blue,39,6.5
7,343,6,47.57500494,-122.4060368,7.5,8.0,"Wet, gray, silty clay, organic-rich",CL-ML,Silty clay,14.031782693702588,blue,39,7.5
7,343,7,47.57500494,-122.4060368,8.0,11.5,"Wet, gray, silty clay to clayey silty, fine sand",CL-ML,Silty clay,14.031782693702588,blue,39,8.0
7,343,8,47.57500494,-122.4060368,11.5,36.5,"Moist, gray, silty clay, very thin interbeds of light gray, very fine sand and silt",CL-ML,Silty clay,14.031782693702588,blue,39,11.5
7,343,9,47.57500494,-122.4060368,36.5,37.5,"Very moist, gray, silty fine sand, moderately sorted",CL-ML,Silty sand,14.031782693702588,blue,39,36.5
7,343,10,47.57500494,-122.4060368,37.5,38.0,"Interbedded moist, gray/green, very fine, silty sand and gray/green clay",CL-ML,Silty sand,14.031782693702588,blue,39,37.5
7,343,11,47.57500494,-122.4060368,38.0,41.0,"Moist, gray/green, silty fine sand, moderately sorted",ML,Silty sand,14.031782693702588,blue,39,38.0
8,343,1,47.57498245,-122.4062386,0.0,5.0,"Very moist, mottled brown, gold, and gray, clay to clayey silty fine sand",SC,Clay,14.047169090317496,blue,39,0.0
8,343,2,47.57498245,-122.4062386,5.0,6.0,"Moist, mottled tan, gold, and gray, clayey silty fine sand",SC-SM,Silty sand,14.047169090317496,blue,39,5.0
8,343,3,47.57498245,-122.4062386,6.0,8.5,"Moist, tan and gray mottled, broken clay and silty clay, minor organics",OL,Clay,14.047169090317496,blue,39,6.0
8,343,4,47.57498245,-122.4062386,8.5,11.5,"Moist, tan and gray mottled, broken clay and silty clay",CL,Clay,14.047169090317496,blue,39,8.5
8,343,5,47.57498245,-122.4062386,11.5,31.5,"Moist, gray, clay and silty clay, thinnly bedded.  Interbeds of light gray, silty clay.  Also 2 ft interbed of gray, clayey silty fine sand",CL-ML,Clay,14.047169090317496,blue,39,11.5
8,343,6,47.57498245,-122.4062386,31.5,36.0,"2 inches of moist, gray/green, clayey silty fine sand; 3 inches of moist, green, very stiff, clay; 6 inches of moist, gray-green, silty fine sand and interbedded moist, very stiff, gray-green clayey silt",ML,Silty sand,14.047169090317496,blue,39,31.5
8,343,7,47.57498245,-122.4062386,36.0,40.0,"3 inches of moist, gray, clay; 1 inches of moist gray/green, clayey silt and clayey silty fine sand; 2 inches of moist, gold, silty fine to medium sand; 6 inches of moist gray and green, clayey silt to very fine sand; 2 inches of moist, green-gray and gold, silty fine sand",ML,Clay,14.047169090317496,blue,39,36.0
9,344,1,47.57401358,-122.4066295,0.0,2.0,"Dark brown silty fine to medium sand with organics, roots and organic debris, moist, loose",SM,Fill,14.095087863906508,blue,53,0.0
9,344,2,47.57401358,-122.4066295,2.0,4.0,"Gray silty fine to medium sand, moist, loose, mottled",SM,Silty sand,14.095087863906508,blue,53,2.0
9,344,3,47.57401358,-122.4066295,4.0,9.0,"Gray silt, moist, medium dense, oxidized from 4 to 5 ft",ML,Silt,14.095087863906508,blue,53,4.0
10,344,1,47.57401811,-122.4065202,0.0,10.0,"6 inches sod, reddish brown silty fine sand with trace organic fibres, moist, loose, fine roots extend to 3 ft",SM,Silty sand,14.086907698658738,blue,57,0.0
11,344,1,47.57411129,-122.4065235,0.0,7.0,"4 inches sod, light brown silty fine sand, moist, loose, fine roots extend to 3 ft",SM,Silty sand,14.085294187583475,blue,54,0.0
11,344,2,47.57411129,-122.4065235,7.0,10.0,"Brown reddish-brown silt, moist, medium dense, mottled",ML,Silt,14.085294187583475,blue,54,7.0
12,344,1,47.57410978,-122.4062804,0.0,4.0,"6 inches sod, reddish brown silty fine sand, moist, medium dense, fine roots extend to 3 ft",SM,Silty sand,14.067329705097068,blue,54,0.0
12,344,2,47.57410978,-122.4062804,4.0,4.5,"Gray sandy silt, moist, medium dense, mottled",ML,Sandy silt,14.067329705097068,blue,54,4.0
12,344,3,47.57410978,-122.4062804,4.5,11.0,"Brown silty fine sand, moist, medium dense",SM,Silty sand,14.067329705097068,blue,54,4.5
13,344,1,47.57399448,-122.4062884,0.0,11.0,"6 inches sod, light brown, silty fine sand, moist, loose to medium dense",SM,Silty sand,14.070224666011024,blue,57,0.0
14,344,1,47.57406127,-122.4063961,0.0,11.0,"6 inches sod, light brown, silty fine sand, moist, loose, trace fine roots to 3 ft",SM,Silty sand,14.076860789785124,blue,54,0.0
15,347,1,47.51235823,-122.3941245,0.0,7.5,"Medium stiff to stiff, gray-brown, slightly sandy silt, moist with scattered organics",ML,Sandy silt,15.972917366424,blue,10,0.0
15,347,2,47.51235823,-122.3941245,7.5,10.30000019,"Dense, gray-brown, clayey, fine sand, trace silt, moist, with scattered organics",SC,Clayey sand,15.972917366424,blue,10,7.5
15,347,3,47.51235823,-122.3941245,10.30000019,10.5,"Very stiff, blue-gray, clayey silt/silty clay, trace fine sand, moist",ML-CL,Clayey silt,15.972917366424,blue,10,10.30000019
16,347,1,47.51238381,-122.3940688,0.0,5.0,"Soft to very stiff, gray-brown, clayey, sandy silt, moist, with scattered organics",ML,Sandy silt,15.967851296078615,blue,13,0.0
16,347,2,47.51238381,-122.3940688,5.0,6.900000095,"Dense to very dense, gray, silty fine sand/fine sandy silt, moist, iron-oxide stains",SM-ML,Silty sand,15.967851296078615,blue,13,5.0
17,347,1,47.51220809,-122.3940828,0.0,8.600000381,"Stiff to very stiff, brown-gray, clayey silt, trace fine to medium sand, trace fine gravel, moist, scattered organics (wood, roots)",ML,Clayey silt,15.980190236525113,blue,10,0.0
17,347,2,47.51220809,-122.3940828,8.600000381,12.0,"Stiff, blue-gray, clayey silt/silty clay, trace fine sand, moist, occasional organics, iron-oxide stains.",ML-CL,Clayey silt,15.980190236525113,blue,10,8.600000381
17,347,3,47.51220809,-122.3940828,12.0,13.5,"Medium dense to dense, blue-gray, slightly clayey, silty fine sand, wet, iron-oxide stains.",SM,Silty sand,15.980190236525113,blue,10,12.0
18,347,1,47.51235957,-122.3938736,0.0,3.0,"Soft to very stiff, gray-brown, slightly clayey, slightly sandy silt, moist, scattered organics.",ML,Sandy silt,15.957540140759209,blue,18,0.0
18,347,2,47.51235957,-122.3938736,3.0,7.400000095,"Very stiff to hard, gray-brown, slightly clayey silt, moist, occasional fine sand seams, iron-oxide stains.",ML,Silt,15.957540140759209,blue,18,3.0
19,347,1,47.51221471,-122.3938442,0.0,3.5,"Soft to medium stiff, gray-brown and black, slightly clayey, slightly sandy silt, moist, with scattered organics.",ML,Sandy silt,15.965226729438688,blue,18,0.0
19,347,2,47.51221471,-122.3938442,3.5,5.800000191,"Very stiff to hard, gray-brown, slightly clayey silt, moist, occasional fine sand seams with iron-oxide stains.",ML,Silt,15.965226729438688,blue,18,3.5
20,347,1,47.51222236,-122.3937109,0.0,2.0,"Soft to medium stiff, gray-brown, slightly clayey, slightly sandy silt, moist, scattered organics.",ML,Sandy silt,15.956610887435437,blue,32,0.0
20,347,2,47.51222236,-122.3937109,2.0,3.799999952,"Very stiff to hard, gray-brown, slightly clayey silt, moist, occasional fine sand seams with iron-oxide stains.",ML,Silt,15.956610887435437,blue,32,2.0
21,348,1,47.56843598,-122.4074796,0.0,1.5,"Grayish brown, dry, very loose, well graded sand with trace silt.",SW,Fill,14.281944973437174,blue,22,0.0
21,348,2,47.56843598,-122.4074796,1.5,7.0,"Clay, medium gray, stiff, slightly moist, with some rootlets and organic staining.",CL,Clay,14.281944973437174,blue,22,1.5
21,348,3,47.56843598,-122.4074796,7.0,8.5,"Sandy silt, brown, medium stiff, wet, over sandy clay, mottled brown, medium stiff, with minor gravel.",ML-CL,Sandy silt,14.281944973437174,blue,22,7.0
21,348,4,47.56843598,-122.4074796,8.5,9.5,"Sand, rust brown to brown, loose, wet, with minor silt.",SP,Sand,14.281944973437174,blue,22,8.5
21,348,5,47.56843598,-122.4074796,9.5,10.5,"Sand, rust brown, loose, moist, some oxidation over clayey silt, gray medium stiff, moist.",SP-ML,Sand,14.281944973437174,blue,22,9.5
21,348,6,47.56843598,-122.4074796,10.5,12.0,"Sandy silt, mottled gray and rusty brown, very stiff, moist, over sand, brown, medium dense, moist, poorly graded, fine grained.",ML-SP,Sandy silt,14.281944973437174,blue,22,10.5
21,348,7,47.56843598,-122.4074796,12.0,13.5,"Sand, brown, dense, moist to wet, well graded with minor gravel.",SW,Sand,14.281944973437174,blue,22,12.0
21,348,8,47.56843598,-122.4074796,13.5,15.0,"Clayey silt, mottled rust brown and brown, grading to gray below 14 ft, with trace fine sand, moist, hard, and weakly bedded.",ML,Clayey silt,14.281944973437174,blue,22,13.5
22,350,1,47.51391992,-122.3935323,0.0,3.799999952,"Dark brown silty sand, occasional gravel to 1 inch, dry with roots.",SM,Silty sand,15.835222406248397,blue,44,0.0
22,350,2,47.51391992,-122.3935323,3.799999952,5.0,Yellow-brown clayey sand with black roots.,SC,Clayey sand,15.835222406248397,blue,44,3.799999952
22,350,3,47.51391992,-122.3935323,5.0,5.099999905,"Dense, dry till",,Undefined,15.835222406248397,blue,44,5.0
23,350,1,47.51408091,-122.3939185,0.0,1.5,Silty sand with roots.,SM,Silty sand,15.848505211257642,blue,37,0.0
23,350,2,47.51408091,-122.3939185,1.5,2.599999905,"Till, gravel 1 inch, yellow, dry, very dense.",GM,Gravel,15.848505211257642,blue,37,1.5
24,356,1,47.54644575,-122.3973182,0.0,1.0,"Dark brown, sandy, organic silt, moist, loose",OL,Topsoil / vegetation,14.3051777305016,blue,59,0.0
24,356,2,47.54644575,-122.3973182,1.0,4.5,"Brown to light brown, silty, fine to medium sand, some gravel, moist, loose.",SM,Silty sand,14.3051777305016,blue,59,1.0
24,356,3,47.54644575,-122.3973182,4.5,16.0,"Brown, silty, fine to medium sand, some gravel to gravelly, medium to coarse sand lenses, very moist, medium-dense.",SM,Silty sand,14.3051777305016,blue,59,4.5
24,356,4,47.54644575,-122.3973182,16.0,18.0,"Brown, silty, medium sand, gravelly, moist, dense.",SM,Silty sand,14.3051777305016,blue,59,16.0
25,356,1,47.54673974,-122.3974502,0.0,1.0,"Dark brown, sandy, organic silt, moist, loose",OL,Topsoil / vegetation,14.301578719455776,blue,53,0.0
25,356,2,47.54673974,-122.3974502,1.0,4.0,"Brown, silty, fine to medium sand, moist, loose to medium-dense.",SM,Silty sand,14.301578719455776,blue,53,1.0
25,356,3,47.54673974,-122.3974502,4.0,16.0,"Brown, silty, medium sand, some gravel, sand lenses, moist, medium-dense.",SM,Silty sand,14.301578719455776,blue,53,4.0
25,356,4,47.54673974,-122.3974502,16.0,17.5,"Bluish-gray, silty, fine sand, some gravel, moist, dense.",SM,Silty sand,14.301578719455776,blue,53,16.0
25,356,5,47.54673974,-122.3974502,17.5,18.0,"Brown, medium sand, some silt, some gravel, moist, dense.",SP,Sand,14.301578719455776,blue,53,17.5
26,359,1,47.54326497,-122.3956299,0.0,0.5,"Dark brown, silty sand with organics, dry loose",OL,Topsoil / vegetation,14.331433624552924,blue,49,0.0
26,359,2,47.54326497,-122.3956299,0.5,3.5,"Light brown, silty, fine to medium sand, trace gravel, dry, loose, becoming medium-dense.",SM,Silty sand,14.331433624552924,blue,49,0.5
26,359,3,47.54326497,-122.3956299,3.5,17.0,"Light brown, slightly silty, medium sand, some gravel to gravelly, moist, medium-dense.",SP,Sand,14.331433624552924,blue,49,3.5
26,359,4,47.54326497,-122.3956299,17.0,30.0,"Gray, silty, medium sand, trace to some gravel, very moist, dense, with hard silt lenses.",SM,Silty sand,14.331433624552924,blue,49,17.0
27,360,1,47.54295102,-122.3962181,0.0,1.0,"Loose, dark brown, silty sand, contains little organics",SM,Topsoil / vegetation,14.38621416522972,blue,27,0.0
27,360,2,47.54295102,-122.3962181,1.0,2.5,"Compact to dense, gray-brown sand, little to trace gravel and silt.",SW,Sand,14.38621416522972,blue,27,1.0
28,360,1,47.54285271,-122.3960243,0.0,0.5,"Loose, dark brown, silty sand, contains little organics",SM,Topsoil / vegetation,14.37750119035403,blue,26,0.0
28,360,2,47.54285271,-122.3960243,0.5,1.5,"Compact to dense, brown, silty sand, contains little gravel.",SP,Silty sand,14.37750119035403,blue,26,0.5
29,360,1,47.54312839,-122.3961029,0.0,2.0,"Loose, dark brown, silty sand, contains little to some organics",SM,Topsoil / vegetation,14.37013259256604,blue,27,0.0
29,360,2,47.54312839,-122.3961029,2.0,2.5,"Compact to dense, brown, silty sand, contains little to trace gravel.",SP,Silty sand,14.37013259256604,blue,27,2.0
30,361,1,47.51627379,-122.3946438,0.0,2.0,Topsoil,Not applicable,Topsoil / vegetation,15.753270138154216,blue,33,0.0
30,361,2,47.51627379,-122.3946438,2.0,3.0,"Loose, moist, brown, silty, fine sand.",ML,Silty sand,15.753270138154216,blue,33,2.0
30,361,3,47.51627379,-122.3946438,3.0,5.0,"Stiff to very stiff, moist, gray silt with occasional gravel, upper 1 ft mottled tan and brown.",CL,Silt,15.753270138154216,blue,33,3.0
31,361,1,47.51638074,-122.3946436,0.0,3.0,"Loose, moist, brown, fine sand with trace silt.",SM,Sand,15.746505811289028,blue,33,0.0
31,361,2,47.51638074,-122.3946436,3.0,4.5,"Loose to medium dense, moist to wet, gray, fine to medium sand with occasional black organic zones.",SP,Sand,15.746505811289028,blue,33,3.0
31,361,3,47.51638074,-122.3946436,4.5,7.0,"Dense, wet to saturated with depth, brown, medium sand.",SP,Sand,15.746505811289028,blue,33,4.5
32,361,1,47.51642834,-122.3944145,0.0,0.5,Topsoil,Not applicable,Topsoil / vegetation,15.729295895890589,blue,35,0.0
32,361,2,47.51642834,-122.3944145,0.5,5.5,"Loose, moist, light brown to tan, gravelly, fine to coarse sand with trace silt.",SW,Gravelly sand,15.729295895890589,blue,35,0.5
32,361,3,47.51642834,-122.3944145,5.5,6.0,"Loose, wet to saturated, mottled tan and orange, silty, fine sand with trace small roots.",SM,Silty sand,15.729295895890589,blue,35,5.5
32,361,4,47.51642834,-122.3944145,6.0,7.0,"Medium dense to dense, saturated, brown and gray, fine to coarse sand.",SW,Sand,15.729295895890589,blue,35,6.0
33,361,1,47.51643046,-122.3946211,0.0,1.0,Topsoil,Not applicable,Topsoil / vegetation,15.741973441560924,blue,33,0.0
33,361,2,47.51643046,-122.3946211,1.0,2.5,"Loose, moist, brown, fine to medium sand with trace silt.",SM,Sand,15.741973441560924,blue,33,1.0
33,361,3,47.51643046,-122.3946211,2.5,7.0,"Medium dense, wet to saturated with depth, tan, fine to medium sand with occasional coarse sand and gravel, pieces of dense sand common.",SW,Sand,15.741973441560924,blue,33,2.5
34,361,1,47.51631319,-122.3947505,0.0,1.5,"Loose to medium dense, wet, brown, fine to coarse sand with some silt organics.",SW,Fill,15.757397692874315,blue,33,0.0
34,361,2,47.51631319,-122.3947505,1.5,3.0,"Stiff to very stiff, moist to wet, gray with some orange mottling, brecciated silt with clasts of hard silt.",MH,Silt,15.757397692874315,blue,33,1.5
35,361,1,47.51630284,-122.3945437,0.0,1.0,"Medium dense, moist, gray, mottled orange, fine to medium sand with some silt.",SP-SM,Sand,15.745230584557984,blue,35,0.0
36,381,1,47.5762026,-122.3986842,0.0,5.0,"Brown, gravelly, silt and sand, moist.",ML-SM,Fill,13.463976820442143,blue,86,0.0
36,381,2,47.5762026,-122.3986842,5.0,8.5,"Mottled to tan, sandy silt, moist.",ML,Sandy silt,13.463976820442143,blue,86,5.0
36,381,3,47.5762026,-122.3986842,8.5,11.5,"Brown, silty sand, moist to wet.",SM,Silty sand,13.463976820442143,blue,86,8.5
37,382,1,47.5817845,-122.3992476,0.0,30.0,"Light brown, sandy material.",SM,Undefined,13.414611180326617,blue,59,0.0
37,382,2,47.5817845,-122.3992476,30.0,53.0,"Silty, clayey, sandy material.",SM,Undefined,13.414611180326617,blue,59,30.0
38,387,1,47.56228252,-122.4016204,0.0,0.5,"Brown, silty sand with trace organic, fine grained, dry to moist, loose.",SM,Silty sand,14.023728981307984,blue,71,0.0
38,387,2,47.56228252,-122.4016204,0.5,12.0,"Tan, slightly silty, gravelly sand, fine grained, dry to moist, medium dense to dense with depth.",SM,Gravelly sand,14.023728981307984,blue,71,0.5
39,387,1,47.56243493,-122.4016907,0.0,0.5,"Brown, silty sand, fine grained, dry, loose.",SM,Silty sand,14.024194923118898,blue,79,0.0
39,387,2,47.56243493,-122.4016907,0.5,12.0,"Tan, slightly silty, gravelly sand, fine grained, dry to moist, medium dense to dense with depth.",SM,Gravelly sand,14.024194923118898,blue,79,0.5
40,387,1,47.56252874,-122.4014874,0.0,0.5,"Brown, silty sand, fine grained, dry, loose.",SM,Silty sand,14.006635325431583,blue,74,0.0
40,387,2,47.56252874,-122.4014874,0.5,12.0,"Tan, slightly silty, gravelly sand, fine grained, dry to moist, medium dense to dense with depth.",SM-SP,Gravelly sand,14.006635325431583,blue,74,0.5
41,387,1,47.56237333,-122.4014332,0.0,0.5,"Tan, silty, gravelly sand, fine grained, dry, loose.",SM,Gravelly sand,14.007418549980637,blue,74,0.0
41,387,2,47.56237333,-122.4014332,0.5,9.5,"Tan, slightly silty, gravelly sand, fine grained, medium dense to dense.",SM-SP,Gravelly sand,14.007418549980637,blue,74,0.5
42,398,1,47.56230619,-122.3986558,0.0,3.0,"Brown, damp, silty sand, some organics.",SM,Fill,13.808537157582895,blue,102,0.0
42,398,2,47.56230619,-122.3986558,3.0,9.0,"Tan, damp, medium dense, silty sand with gravels.",SP,Silty sand,13.808537157582895,blue,102,3.0
43,398,1,47.56230732,-122.3985869,0.0,1.0,"Brown, damp, silty sand with organics.",SM,Silty sand,13.803520972015653,blue,102,0.0
43,398,2,47.56230732,-122.3985869,1.0,6.0,"Tan, damp, medium dense, silty sand with gravels.",SP,Silty sand,13.803520972015653,blue,102,1.0
44,401,1,47.51394714,-122.3943873,0.0,2.0,"Loose, brown, silty, fine sand, trace of coarse sand and gravel, some organics, moist.",SW,Silty sand,15.885898529231437,blue,18,0.0
44,401,2,47.51394714,-122.3943873,2.0,11.0,"Medium stiff to stiff, gray-brown, mottled, silty clay, trace of sand, gravel and organics, moist.",SC,Silty clay,15.885898529231437,blue,18,2.0
44,401,3,47.51394714,-122.3943873,11.0,16.5,"Very stiff, gray, fine sandy, silty clay, trace of gravel, moist to wet.",CH,Silty clay,15.885898529231437,blue,18,11.0
45,401,1,47.51393991,-122.3943263,0.0,2.0,"Loose to medium dense, brown, silty fine sand, some gravel and organics, moist.",SW,Silty sand,15.882620606813624,blue,18,0.0
45,401,2,47.51393991,-122.3943263,2.0,9.5,"Stiff, gray-brown (mottled), silty clay, scattered sand, gravel and organics, moist.",OH,Silty clay,15.882620606813624,blue,18,2.0
45,401,3,47.51393991,-122.3943263,9.5,12.0,"Hard, gray, moist, silty clay.",CH,Silty clay,15.882620606813624,blue,18,9.5
46,401,1,47.51397336,-122.3944611,0.0,5.0,"Loose, brown, sandy silt, some organics, moist.",MH,Sandy silt,15.888739675873152,blue,18,0.0
46,401,2,47.51397336,-122.3944611,5.0,17.0,"Medium to very stiff, gray, silty clay, moist to wet.",CH,Silty clay,15.888739675873152,blue,18,5.0
46,401,3,47.51397336,-122.3944611,17.0,17.5,"Hard, gray, moist, silty clay.",CH,Silty clay,15.888739675873152,blue,18,17.0
46,401,4,47.51397336,-122.3944611,17.5,18.5,"Very dense, gray, silty fine sand, moist to wet.",ML,Silty sand,15.888739675873152,blue,18,17.5
47,402,1,47.51360308,-122.3942982,0.0,6.0,"Soft, gray, clayey silt, with some organic matter.",OL,Clayey silt,15.902640364066556,blue,22,0.0
47,402,2,47.51360308,-122.3942982,6.0,10.0,"Loose, gray, fine sandy silt, water-bearing.",MH,Sandy silt,15.902640364066556,blue,22,6.0
47,402,3,47.51360308,-122.3942982,10.0,10.5,"Medium stiff, gray, clayey silt.",MH,Clayey silt,15.902640364066556,blue,22,10.0
48,402,1,47.51362366,-122.3945499,0.0,3.0,"Soft to medium stiff, gray-brown, clayey silt, with some organic matter.",OL,Clayey silt,15.916740447605468,blue,13,0.0
48,402,2,47.51362366,-122.3945499,3.0,8.5,"Stiff, gray, clayey silt.",MH,Clayey silt,15.916740447605468,blue,13,3.0
49,402,1,47.51378904,-122.3943291,0.0,5.0,"Soft, gray to dark brown, clayey silt, with some organic matter.",OL,Clayey silt,15.892523549201975,blue,18,0.0
49,402,2,47.51378904,-122.3943291,5.0,12.0,"Loose, gray, fine sandy silt, water-bearing.",ML,Sandy silt,15.892523549201975,blue,18,5.0
49,402,3,47.51378904,-122.3943291,12.0,13.5,"Very stiff, gray, stratified, clayey silt and fine sandy silt.",MH,Clayey silt,15.892523549201975,blue,18,12.0
50,402,1,47.51382059,-122.3945811,0.0,2.5,"Soft to medium stiff, gray to brown, clayey silt, with some organic matter.",OL,Clayey silt,15.905949540976138,blue,18,0.0
50,402,2,47.51382059,-122.3945811,2.5,13.5,"Stiff to medium stiff, gray, slightly clayey silt.",MH,Silt,15.905949540976138,blue,18,2.5
51,403,1,47.51334121,-122.394382,0.0,3.0,"Soft, wet, brown silt.",ML,Fill,15.924716462464088,blue,11,0.0
51,403,2,47.51334121,-122.394382,3.0,6.0,"Soft, wet, red-brown mottled, very silty, fine sand, with trace organics.",SM,Silty sand,15.924716462464088,blue,11,3.0
51,403,3,47.51334121,-122.394382,6.0,9.0,"Soft, wet, blue-gray, fine sandy silt with gravel, and lenses of black silt with organics.",GM,Sandy silt,15.924716462464088,blue,11,6.0
51,403,4,47.51334121,-122.394382,9.0,10.80000019,"Medium stiff, wet, blue-gray, silty clay.",CH,Silty clay,15.924716462464088,blue,11,9.0
52,403,1,47.51339045,-122.3945578,0.0,3.200000048,"Soft, wet, blue-gray, slightly sandy silt with gravel.",SM-ML,Silt,15.932296617684154,blue,11,0.0
52,403,2,47.51339045,-122.3945578,3.200000048,4.800000191,"Loose, wet, gray, fine sand.",SW,Sand,15.932296617684154,blue,11,3.200000048
52,403,3,47.51339045,-122.3945578,4.800000191,6.599999905,"Soft, wet, brown, organic silt, with pieces of timber in silty sand matrix.",OL,Silty sand,15.932296617684154,blue,11,4.800000191
52,403,4,47.51339045,-122.3945578,6.599999905,8.5,"Medium stiff, wet, blue-gray, clayey silt.",MH,Clayey silt,15.932296617684154,blue,11,6.599999905
53,403,1,47.51329706,-122.3942307,0.0,1.0,"Soft, wet, red-brown mottled, very silty, fine sand, with trace organics.",SM,Silty sand,15.918314975364131,blue,17,0.0
53,403,2,47.51329706,-122.3942307,1.0,4.0,"Soft, wet, black, organic silt, with rotten wood pieces.",OL,Silt,15.918314975364131,blue,17,1.0
53,403,3,47.51329706,-122.3942307,4.0,8.0,"Soft, wet, blue-gray, fine, sandy silt to silty, fine sand.",SM-ML,Sandy silt,15.918314975364131,blue,17,4.0
54,403,1,47.51323538,-122.3943135,0.0,3.200000048,"Loose, damp, brown, gravel.",GP,Fill,15.92738033494786,blue,11,0.0
54,403,2,47.51323538,-122.3943135,3.200000048,4.400000095,"Soft, wet, blue-gray, clayey silt.",ML,Clayey silt,15.92738033494786,blue,11,3.200000048
54,403,3,47.51323538,-122.3943135,4.400000095,7.0,"Soft to medium stiff, wet, blue-gray, slightly sandy silt to silty, fine sand with small wood pieces.",SM-ML,Silt,15.92738033494786,blue,11,4.400000095
55,515,1,47.5748049,-122.407537,0.0,1.0,"Dark brown, fine, sandy silt, dry, soft, with roots.",ML,Sandy silt,14.146797209252664,blue,35,0.0
55,515,2,47.5748049,-122.407537,1.0,4.0,"Yellow and light gray, silty, fine to medium sand, moist, medium dense, occasional rounded gravel.",SM,Silty sand,14.146797209252664,blue,35,1.0
